,filenames,labels
0,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
1,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_07/Cam4/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
2,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam3/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
3,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam4/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
4,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
5,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam4/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
6,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_05/Cam4/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
7,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_07/Cam4/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
8,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam3/left/0001.mp4,[1 1 1 1 1 1 0 0 0 0 0 1 0 1 0]
9,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam4/left/0001.mp4,[1 1 1 1 1 1 0 0 0 0 0 1 0 1 0]
10,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam4/right/0002.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
11,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_07/Cam4/right/0002.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
12,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam4/right/0003.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
